광림,1034,33,16,1016,368,648,1.58,6,140,2.54,1.7,43,20.75,1700,0.52,3,2013
광림,926,19,11,1203,540,663,1.23,4,-40,1.74,1.03,30,25.38,1738,0.43,3,2014
광림,946,3,33,1321,623,698,3.47,14,51,4.83,2.6,86,18.03,1831,0.85,3,2015
광림,873,2,4,1521,619,902,0.5,19,14,0.55,0.31,10,822.74,1865,4.22,3,2016
현대차,431624,43052,52795,539459,169263,370197,12.23,16573,54834,15.18,10.13,18494,11.81,136342,1.6,3,2012
현대차,416912,37210,51815,577142,157620,419522,12.43,18158,45791,13.12,9.28,18150,13.03,154508,1.53,3,2013
현대차,430459,37355,49137,613434,156814,456620,11.42,20775,39146,11.22,8.25,17212,9.82,168715,1,3,2014
현대차,444397,42673,54355,669782,172815,496968,12.23,70459,5627,11.4,8.47,19040,7.83,184976,0.81,3,2015
현대차,417136,26995,41019,698509,172712,525797,9.83,19008,30687,8.02,6,14368,10.16,195716,0.75,3,2016
기아차,280079,16453,21368,244801,95471,149330,7.63,11167,16395,15.27,8.93,5273,10.71,36873,1.53,3,2012
기아차,283326,14816,26344,268629,96278,172351,9.3,9308,28595,16.38,10.26,6499,8.63,42557,1.32,3,2013
기아차,298501,14346,24208,303117,111200,191917,8.11,10292,7826,13.29,8.47,5972,8.76,47529,1.1,3,2014
기아차,326999,22950,24964,340689,132565,208124,7.63,29303,7775,12.48,7.75,6158,8.54,51910,1.01,3,2015
기아차,316419,19470,20715,363794,139476,224318,6.55,7941,22403,9.58,5.88,5110,7.68,55949,0.7,3,2016
KR모터스,969,-42,-61,1269,588,681,-6.3,9,-45,-8.57,-4.58,-80,-9.21,897,0.55,3,2012
KR모터스,974,-106,-111,1169,596,573,-11.36,39,-30,-17.64,-9.08,-146,-4.5,755,0.58,3,2013
KR모터스,807,-110,-127,1368,910,458,-15.71,127,-452,-24.58,-9.99,-167,-9.29,604,1.71,3,2014
KR모터스,834,-148,-156,1584,897,687,-18.77,44,-238,-27.32,-10.6,-151,-12.58,616,2.06,3,2015
KR모터스,869,-59,-104,1433,845,588,-12,21,-167,-16.34,-6.91,-93,-13.87,525,1.64,3,2016
쌍용차,28741,-981,-1059,18505,10498,8007,-3.69,1174,283,-12.41,-5.81,-865,-6.14,6527,0.81,4,2012
쌍용차,34849,-89,-24,21176,12334,8842,-0.07,1523,1218,-0.29,-0.12,-18,-414.38,6445,1.17,4,2013
쌍용차,33266,-769,-509,19684,11910,7774,-1.53,1837,-1155,-6.13,-2.49,-371,-24.95,5666,1.63,4,2014
쌍용차,33901,-358,-619,20392,13221,7171,-1.83,1511,505,-8.29,-3.09,-451,-17.17,5226,1.48,4,2015
쌍용차,36285,280,581,21634,13507,8127,1.6,1275,1169,7.6,2.77,423,18.63,5923,1.33,4,2016
코라오홀딩스,2759,294,292,1426,274,1152,10.59,111,-62,27.76,22.97,683,25.41,2696,6.44,4,2012
코라오홀딩스,3345,338,277,3426,704,2722,8.29,258,-520,14.32,11.43,638,42.41,5675,4.77,4,2013
코라오홀딩스,3800,361,420,4575,1389,3186,11.05,274,-1021,14.34,10.5,884,22.18,6650,2.95,4,2014
코라오홀딩스,4445,335,469,6002,2149,3853,10.54,147,-334,13.51,8.86,994,10.37,8058,1.28,4,2015
코라오홀딩스,3923,205,416,6901,2520,4381,10.61,107,-71,10.41,6.45,898,8.93,9190,0.87,4,2016
현대차2우B,844697,84406,90611,1215378,736202,479176,10.73,30000,23396,21.11,7.85,30008,7.28,162194,1.35,4,2012
현대차2우B,873076,83155,89935,1334215,768387,565828,10.3,31711,-19626,17.8,7.05,29921,7.9,191260,1.24,4,2013
현대차2우B,892563,75500,76495,1472251,846046,626206,8.57,33538,-12330,13.41,5.45,25735,6.57,213027,0.79,4,2014
현대차2우B,919587,63579,65092,1653679,984865,668814,7.08,81417,-68933,10.72,4.17,22479,6.63,230859,0.65,4,2015
현대차2우B,936490,51935,57197,1788359,1064914,723446,6.11,29712,-19742,8.37,3.32,18938,7.71,250098,0.58,4,2016
현대차우,844697,84406,90611,1215378,736202,479176,10.73,30000,23396,21.11,7.85,30008,7.28,162194,1.35,4,2012
현대차우,873076,83155,89935,1334215,768387,565828,10.3,31711,-19626,17.8,7.05,29921,7.9,191260,1.24,4,2013
현대차우,892563,75500,76495,1472251,846046,626206,8.57,33538,-12330,13.41,5.45,25735,6.57,213027,0.79,4,2014
현대차우,919587,63579,65092,1653679,984865,668814,7.08,81417,-68933,10.72,4.17,22479,6.63,230859,0.65,4,2015
현대차우,936490,51935,57197,1788359,1064914,723446,6.11,29712,-19742,8.37,3.32,18938,7.71,250098,0.58,4,2016
현대차3우B,844697,84406,90611,1215378,736202,479176,10.73,30000,23396,21.11,7.85,30008,7.28,162194,1.35,4,2012
현대차3우B,873076,83155,89935,1334215,768387,565828,10.3,31711,-19626,17.8,7.05,29921,7.9,191260,1.24,4,2013
현대차3우B,892563,75500,76495,1472251,846046,626206,8.57,33538,-12330,13.41,5.45,25735,6.57,213027,0.79,4,2014
현대차3우B,919587,63579,65092,1653679,984865,668814,7.08,81417,-68933,10.72,4.17,22479,6.63,230859,0.65,4,2015
현대차3우B,936490,51935,57197,1788359,1064914,723446,6.11,29712,-19742,8.37,3.32,18938,7.71,250098,0.58,4,2016
광림,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2012
광림,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2013
광림,2314,22,-2,2449,1159,1290,-0.1,23,-86,null,null,19,40.5,1720,0.44,4,2014
광림,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2015
광림,873,2,-19,2296,1161,1135,-2.17,19,14,null,null,-41,-189.73,2042,3.85,4,2016
현대차,844697,84406,90611,1215378,736202,479176,10.73,30000,23396,21.11,7.85,30008,7.28,162194,1.35,4,2012
현대차,873076,83155,89935,1334215,768387,565828,10.3,31711,-19626,17.8,7.05,29921,7.9,191260,1.24,4,2013
현대차,892563,75500,76495,1472251,846046,626206,8.57,33538,-12330,13.41,5.45,25735,6.57,213027,0.79,4,2014
현대차,919587,63579,65092,1653679,984865,668814,7.08,81417,-68933,10.72,4.17,22479,6.63,230859,0.65,4,2015
현대차,936490,51935,57197,1788359,1064914,723446,6.11,29712,-19742,8.37,3.32,18938,7.71,250098,0.58,4,2016
기아차,472429,35223,38647,323983,155503,168481,8.18,15746,27708,25.46,12.34,9537,5.92,41602,1.36,4,2012
기아차,475979,31771,38171,361820,159272,202548,8.02,11924,35842,20.58,11.13,9416,5.96,50014,1.12,4,2013
기아차,470970,25725,29936,410442,185603,224839,6.36,14296,9342,14.01,7.75,7385,7.08,55682,0.94,4,2014
기아차,495214,23543,26306,459801,217761,242040,5.31,39146,-5394,11.27,6.05,6489,8.11,60369,0.87,4,2015
기아차,527129,24615,27546,508893,243098,265794,5.23,15595,17163,10.85,5.69,6795,5.78,66294,0.59,4,2016
KR모터스,979,-62,-82,1193,585,608,-8.41,9,-55,-10.99,-6.52,-97,-7.6,838,0.59,4,2012
KR모터스,996,-35,-66,1169,596,573,-6.64,39,-31,-10.28,-5.6,-82,-8.02,755,0.58,4,2013
KR모터스,808,-113,-126,1370,911,459,-15.56,127,-456,-24.37,-9.91,-166,-9.36,605,1.71,4,2014
KR모터스,832,-156,-161,1582,898,684,-19.36,44,-238,-28.16,-10.91,-156,-12.23,613,2.07,4,2015
KR모터스,876,-75,-100,1495,861,634,-11.39,22,-115,-15.65,-6.49,-89,-14.49,527,1.64,4,2016
솔본,34,-1,48,1217,17,1201,141.67,6,-10,4.09,4,175,16.21,4679,0.61,3,2012
솔본,32,-10,10,1218,13,1205,32.62,2,-7,0.86,0.85,38,93.47,4695,0.75,3,2013
솔본,36,0,56,1236,15,1221,154.77,2,14,4.66,4.61,207,21.59,4756,0.94,3,2014
솔본,30,1,19,1315,15,1300,61.17,3,-7,1.47,1.45,68,80.8,5067,1.08,3,2015
솔본,35,0,7,1321,17,1304,19.84,0,11,0.54,0.53,26,203.11,5080,1.02,3,2016
인피니트헬스케어,458,-13,-55,668,203,465,-12,10,48,-11.3,-7.6,-226,-38.06,1914,4.49,3,2012
인피니트헬스케어,376,22,82,693,138,555,21.73,5,52,16.03,12.02,336,21.35,2281,3.14,3,2013
인피니트헬스케어,323,21,16,690,112,578,4.86,0,37,2.77,2.27,64,112.63,2372,3.05,3,2014
인피니트헬스케어,324,38,54,742,128,614,16.76,5,64,9.1,7.57,222,42.17,2522,3.72,3,2015
인피니트헬스케어,382,69,74,829,138,691,19.23,3,43,11.26,9.36,301,22.76,2835,2.42,3,2016
비트컴퓨터,326,16,2,538,234,305,0.59,2,2,0.62,0.35,12,398.51,1852,2.48,3,2012
비트컴퓨터,352,13,-5,545,245,300,-1.42,2,26,-1.65,-0.92,-30,-123.77,1825,2.03,3,2013
비트컴퓨터,345,25,13,512,200,313,3.74,1,35,4.21,2.44,78,63.46,1900,2.59,3,2014
비트컴퓨터,372,50,46,498,139,359,12.37,6,43,13.69,9.1,276,28.1,2181,3.56,3,2015
비트컴퓨터,354,52,55,521,109,412,15.56,8,39,14.31,10.82,332,16.51,2506,2.19,3,2016
유비케어,630,18,15,597,115,482,2.41,2,36,3.18,2.65,38,77.94,1196,2.45,3,2012
유비케어,660,20,-20,558,86,472,-3.09,3,22,-4.28,-3.54,-51,-52.96,1171,2.29,3,2013
유비케어,558,43,-57,535,133,402,-10.23,3,76,-13.06,-10.45,-142,-18.53,998,2.63,3,2014
유비케어,594,45,55,642,189,453,9.25,5,75,12.86,9.34,136,26.57,1124,3.22,3,2015
유비케어,682,63,51,674,183,491,7.45,5,27,10.77,7.72,126,27.77,1239,2.83,3,2016
솔본,1173,-47,-65,1964,517,1447,-5.51,44,10,-2.18,-3.15,-93,-30.55,4528,0.63,4,2012
솔본,938,2,73,1834,313,1521,7.79,11,140,2.77,3.85,120,29.46,4678,0.75,4,2013
솔본,716,-19,49,1803,249,1554,6.8,8,6,4.33,2.68,193,23.13,4813,0.93,4,2014
솔본,705,30,34,1875,234,1641,4.84,20,50,1.18,1.86,54,100.58,5017,1.09,4,2015
솔본,790,13,36,1913,237,1676,4.52,7,6,0.3,1.88,14,365.83,5020,1.03,4,2016
인피니트헬스케어,811,-48,-71,918,466,452,-8.71,35,-7,-14.74,-7.14,-285,-30.14,1811,4.75,4,2012
인피니트헬스케어,646,25,85,817,282,535,13.18,8,67,18.33,9.82,367,19.56,2194,3.27,4,2013
인피니트헬스케어,628,31,18,789,228,561,2.87,6,25,4.03,2.25,91,79.75,2316,3.13,4,2014
인피니트헬스케어,618,44,56,827,208,619,9.12,8,61,9.54,6.98,232,40.43,2552,3.68,4,2015
인피니트헬스케어,715,66,72,905,210,695,10.04,7,51,10.78,8.29,291,23.55,2860,2.4,4,2016
비트컴퓨터,328,13,4,540,237,303,1.08,3,-1,1.15,0.65,21,215.37,1843,2.5,4,2012
비트컴퓨터,354,13,-5,548,248,300,-1.29,2,25,-1.51,-0.84,-27,-135.26,1824,2.03,4,2013
비트컴퓨터,347,26,13,514,202,313,3.8,2,35,4.3,2.48,79,62.29,1900,2.59,4,2014
비트컴퓨터,373,50,46,500,141,359,12.42,7,43,13.8,9.14,279,27.87,2184,3.56,4,2015
비트컴퓨터,355,51,54,523,111,411,15.19,8,39,14.01,10.55,325,16.88,2502,2.19,4,2016
유비케어,650,6,1,615,152,463,0.13,4,-11,2.2,0.15,26,113.2,1185,2.48,4,2012
유비케어,655,19,-43,550,111,438,-6.57,4,-12,-7.68,-7.4,-88,-30.68,1094,2.46,4,2013
유비케어,558,43,-30,528,133,395,-5.39,4,48,-6.21,-5.57,-64,-40.78,980,2.68,4,2014
유비케어,594,45,62,642,189,453,10.44,5,73,14.64,10.61,154,23.53,1125,3.22,4,2015
유비케어,682,63,51,648,183,466,7.43,5,27,11.04,7.85,126,27.86,1174,2.98,4,2016
한국전자금융,1244,85,37,1207,464,743,2.94,150,62,5.02,3.1,141,13.89,2857,0.68,3,2012
한국전자금융,1365,85,51,1300,469,831,3.75,134,79,6.51,4.09,197,10.63,3196,0.66,3,2013
한국전자금융,1396,86,150,1295,414,881,10.74,137,10,17.5,11.55,576,4.58,3386,0.78,3,2014
한국전자금융,1422,129,96,1627,669,959,6.72,158,80,10.38,6.54,367,17.6,3685,1.75,3,2015
한국전자금융,1381,163,128,2010,941,1069,9.25,154,67,12.61,7.03,491,12.5,4110,1.49,3,2016
한네트,271,21,5,462,139,323,1.94,45,11,1.6,1.1,46,39.37,2793,0.64,3,2012
한네트,283,38,16,562,217,346,5.65,69,9,4.78,3.12,138,15.59,2989,0.72,3,2013
한네트,277,39,22,624,270,354,8.04,46,24,6.37,3.76,193,11.89,3061,0.75,3,2014
한네트,282,33,20,711,351,360,7.22,54,11,5.71,3.06,176,18.88,3111,1.07,3,2015
한네트,288,37,24,697,327,370,8.27,29,49,6.54,3.39,206,23.51,3202,1.51,3,2016
한국전자금융,1269,84,38,1290,523,767,2.96,138,57,5.28,2.99,150,12.99,2910,0.67,4,2012
한국전자금융,1379,83,54,1311,456,854,3.92,147,73,6.89,4.16,212,9.89,3240,0.65,4,2013
한국전자금융,1402,87,148,1298,401,896,10.54,147,13,17.01,11.33,567,4.66,3428,0.77,4,2014
한국전자금융,1525,123,94,1869,826,1043,6.16,161,101,10.21,5.93,366,17.67,3730,1.73,4,2015
